,year,T2M,PRECIP,RH2M,NDVI,yield_kg_per_ha
0,2000,27.188,18.54,32.245999999999995,0.3974206495164269,4653.222222222223
1,2001,26.16391304347826,35.9,36.24173913043479,0.4253194502082128,4506.166666666667
2,2002,27.210869565217394,48.47,33.83086956521739,0.409184952865367,4491.333333333333
3,2003,24.885217391304348,59.690000000000005,44.66782608695652,0.4167778720650449,4134.0
4,2004,26.17739130434783,45.21,38.47695652173913,0.437946016688748,4168.277777777777
5,2005,24.574347826086957,37.660000000000004,43.63695652173913,0.4467655268432963,4180.388888888889
6,2006,26.086521739130436,42.82,44.43347826086956,0.4497279560975292,4144.9
7,2007,25.886521739130433,17.09,40.22260869565218,0.46268348199789616,4193.380952380952
8,2008,24.504347826086956,104.32,50.54565217391304,0.4494006016531219,4477.285714285715
9,2009,26.18565217391304,17.259999999999998,36.64608695652174,0.43733620895648,4381.952380952381
10,2010,25.42217391304348,20.63,40.40217391304348,0.44806726877107644,4382.142857142857
11,2011,24.506086956521738,42.22,45.64826086956522,0.4706209795923167,4651.952380952381
12,2012,25.27173913043478,26.72,40.53608695652174,0.45399258092903055,5069.380952380952
13,2013,25.346521739130434,8.56,47.69652173913043,0.4760101501602361,4679.782608695652
14,2014,24.45434782608696,58.849999999999994,43.4,0.4680260234581694,4809.347826086957
15,2015,24.64217391304348,78.32000000000001,47.210869565217386,0.48599874517356056,4190.173913043478
16,2016,25.5,50.89,40.43304347826087,0.47253015169364354,4553.521739130435
17,2017,25.406521739130437,53.51,45.651739130434784,0.4761486956764955,4978.130434782609
18,2018,24.61086956521739,43.97,45.81782608695652,0.48811538426469064,5016.478260869565
19,2019,24.46391304347826,76.26,51.78521739130434,0.515969100387166,5117.652173913043
20,2020,23.89217391304348,48.0,53.22217391304348,0.5173060883685505,4940.086956521739
21,2021,24.348695652173912,117.76,49.23391304347827,0.49149288464024843,4804.565217391304
22,2022,24.651304347826088,20.27,53.38739130434783,0.5084947711770093,4014.6521739130435
