,NDVI,date
0,0.6331083939788866,2000-02-18
1,0.6024337834998007,2000-03-05
2,0.5048301499743153,2000-03-21
3,0.32495697535626045,2000-04-06
4,0.2270935378409147,2000-04-22
5,0.20901604679448454,2000-05-08
6,0.20176525693604427,2000-05-24
7,0.22920380589036685,2000-06-09
8,0.3325852491883111,2000-06-25
9,0.38894314474619557,2000-07-11
10,0.5078039671764198,2000-07-27
11,0.5760422230315813,2000-08-12
12,0.5815999916755389,2000-08-28
13,0.5041449821395787,2000-09-13
14,0.429337345662775,2000-09-29
15,0.357678621790793,2000-10-15
16,0.29325410425975706,2000-10-31
17,0.2884007546181677,2000-11-16
18,0.3219903890740301,2000-12-02
19,0.4342242666943169,2000-12-18
20,0.4813636767898157,2001-01-01
21,0.5618128892120384,2001-01-17
22,0.5860263190602252,2001-02-02
23,0.6212641207910178,2001-02-18
24,0.5994066098456862,2001-03-06
25,0.48144488180803885,2001-03-22
26,0.32802726619094613,2001-04-07
27,0.23743722209471513,2001-04-23
28,0.20961964499258556,2001-05-09
29,0.19945947963297325,2001-05-25
30,0.2370530621139983,2001-06-10
31,0.4363613520824621,2001-06-26
32,0.4789028566339294,2001-07-12
33,0.5520845867899994,2001-07-28
34,0.5882886252349548,2001-08-13
35,0.5615679449590308,2001-08-29
36,0.5000027300187161,2001-09-14
37,0.41853770691151815,2001-09-30
38,0.33841709942625553,2001-10-16
39,0.2914426807367732,2001-11-01
40,0.2877040947532288,2001-11-17
41,0.33271526781889094,2001-12-03
42,0.4534072368910958,2001-12-19
43,0.523534243497501,2002-01-01
44,0.5905620263279798,2002-01-17
45,0.614521305822591,2002-02-02
46,0.6505939266468381,2002-02-18
47,0.6069592138871918,2002-03-06
48,0.385175518498725,2002-03-22
49,0.2699744073271561,2002-04-07
50,0.2217682601861859,2002-04-23
51,0.1972681762588937,2002-05-09
52,0.2034966823825855,2002-05-25
53,0.2429559347787545,2002-06-10
54,0.29509916250592266,2002-06-26
55,0.36020052842956846,2002-07-12
56,0.4668311183563809,2002-07-28
57,0.4775973219783591,2002-08-13
58,0.5660893753945107,2002-08-29
59,0.4994710466099503,2002-09-14
60,0.4333286744704136,2002-09-30
61,0.336102244018693,2002-10-16
62,0.30448281489299023,2002-11-01
63,0.3152036961084323,2002-11-17
64,0.36870300540287343,2002-12-03
65,0.48133523212094403,2002-12-19
66,0.23424195266043743,2003-01-01
67,0.5396569415349944,2003-01-17
68,0.6318426989665678,2003-02-02
69,0.6262038475074013,2003-02-18
70,0.574394341629724,2003-03-06
71,0.39948610605059043,2003-03-22
72,0.278211140611233,2003-04-07
73,0.23326918218629594,2003-04-23
74,0.20206056809468886,2003-05-09
75,0.19309362005976624,2003-05-25
76,0.21936741446147154,2003-06-10
77,0.3088124609563962,2003-06-26
78,0.4966490308545521,2003-07-12
79,0.590419361144255,2003-07-28
80,0.5983926948572844,2003-08-13
81,0.6187203907735375,2003-08-29
82,0.5515780732153338,2003-09-14
83,0.433570095897943,2003-09-30
84,0.37094329666274234,2003-10-16
85,0.3081354224620888,2003-11-01
86,0.30929377661990215,2003-11-17
87,0.35292495696385534,2003-12-03
88,0.5146236833249722,2003-12-19
89,0.5245157350499128,2004-01-01
90,0.6121267598717457,2004-01-17
91,0.6518303422410407,2004-02-02
92,0.6650944924160738,2004-02-18
93,0.6283148703893359,2004-03-05
94,0.3956558878802358,2004-03-21
95,0.27060620443769995,2004-04-06
96,0.23985501948593896,2004-04-22
97,0.21140300301153278,2004-05-08
98,0.2121977089143957,2004-05-24
99,0.25915987516804617,2004-06-09
100,0.32935458755524294,2004-06-25
101,0.4266355643915736,2004-07-11
102,0.5329529693840312,2004-07-27
103,0.6021255242681044,2004-08-12
104,0.5815305452284288,2004-08-28
105,0.5276467614500003,2004-09-13
106,0.4691196697933013,2004-09-29
107,0.37717652094602433,2004-10-15
108,0.31691503487076117,2004-10-31
109,0.3017300994863852,2004-11-16
110,0.3936762043605942,2004-12-02
111,0.5431350032407984,2004-12-18
112,0.574891223113721,2005-01-01
113,0.6304842637819693,2005-01-17
114,0.6561636370969481,2005-02-02
115,0.6722598621782175,2005-02-18
116,0.6696271149326445,2005-03-06
117,0.47220392829905905,2005-03-22
118,0.28577254429318816,2005-04-07
119,0.24991640073105745,2005-04-23
120,0.22063768549268065,2005-05-09
121,0.21821459150386086,2005-05-25
122,0.21291078731770335,2005-06-10
123,0.3147327154613687,2005-06-26
124,0.4548017574312633,2005-07-12
125,0.5535416141735765,2005-07-28
126,0.5775424864544001,2005-08-13
127,0.6020372060904703,2005-08-29
128,0.6104434360558314,2005-09-14
129,0.5018013410514286,2005-09-30
130,0.3805544382715669,2005-10-16
131,0.3075927966085615,2005-11-01
132,0.2969071491066492,2005-11-17
133,0.3320204847891039,2005-12-03
134,0.48054965316054504,2005-12-19
135,0.488637973878772,2006-01-01
136,0.5662353217598598,2006-01-17
137,0.6134503663647801,2006-02-02
138,0.6536328248637897,2006-02-18
139,0.6134585200516408,2006-03-06
140,0.4758698109764896,2006-03-22
141,0.2895798619729497,2006-04-07
142,0.21957061807558603,2006-04-23
143,0.20522954658394646,2006-05-09
144,0.23131211270621257,2006-05-25
145,0.24358535361264144,2006-06-10
146,0.340409042917285,2006-06-26
147,0.4296563638196388,2006-07-12
148,0.6342097561401895,2006-07-28
149,0.6376673547275701,2006-08-13
150,0.6410926696610527,2006-08-29
151,0.552002998883203,2006-09-14
152,0.47789007927739696,2006-09-30
153,0.3964915865817749,2006-10-16
154,0.3238068703314307,2006-11-01
155,0.34959295190949186,2006-11-17
156,0.426883785948397,2006-12-03
157,0.5334772191990738,2006-12-19
158,0.5430986570766384,2007-01-01
159,0.5835071973837753,2007-01-17
160,0.6412314005730906,2007-02-02
161,0.6716122286522829,2007-02-18
162,0.661344401718905,2007-03-06
163,0.5221059373437201,2007-03-22
164,0.324283736387697,2007-04-07
165,0.26001978097560824,2007-04-23
166,0.2331330267738647,2007-05-09
167,0.21809375032377562,2007-05-25
168,0.28459394424883205,2007-06-10
169,0.4045100988445713,2007-06-26
170,0.4866627161113759,2007-07-12
171,0.6076589725042463,2007-07-28
172,0.6314729808383698,2007-08-13
173,0.6387067828498856,2007-08-29
174,0.6034807116071608,2007-09-14
175,0.48309792039029714,2007-09-30
176,0.3699738155340256,2007-10-16
177,0.3207394616758427,2007-11-01
178,0.3035445377743695,2007-11-17
179,0.3809560345402108,2007-12-03
180,0.46789199182306557,2007-12-19
181,0.5148874771866352,2008-01-01
182,0.5862812411613529,2008-01-17
183,0.6038805418461116,2008-02-02
184,0.6295212662474994,2008-02-18
185,0.5962374845149733,2008-03-05
186,0.5107152176359809,2008-03-21
187,0.28551282471727824,2008-04-06
188,0.23582954305321951,2008-04-22
189,0.2153529876157892,2008-05-08
190,0.21966523450239028,2008-05-24
191,0.2723733575492416,2008-06-09
192,0.3295743715198114,2008-06-25
193,0.4591135856152074,2008-07-11
194,0.5586795173524036,2008-07-27
195,0.6471026965846033,2008-08-12
196,0.6524926139234056,2008-08-28
197,0.5638488825950443,2008-09-13
198,0.4638443938858061,2008-09-29
199,0.3882086747516859,2008-10-15
200,0.3220498225977252,2008-10-31
201,0.30893655075833554,2008-11-16
202,0.4138453598713534,2008-12-02
203,0.5582601925359494,2008-12-18
204,0.5823918431220345,2009-01-01
205,0.6614471511181801,2009-01-17
206,0.6850342427995126,2009-02-02
207,0.6443964730529564,2009-02-18
208,0.5567541517763227,2009-03-06
209,0.3899105384410901,2009-03-22
210,0.26280234448205786,2009-04-07
211,0.236517319446098,2009-04-23
212,0.21457618097728182,2009-05-09
213,0.2158396267441335,2009-05-25
214,0.22152787533241677,2009-06-10
215,0.25239046220721945,2009-06-26
216,0.4229334490331605,2009-07-12
217,0.5225789749581394,2009-07-28
218,0.6309714152008912,2009-08-13
219,0.6729136272891582,2009-08-29
220,0.5899457729461406,2009-09-14
221,0.5120819713942122,2009-09-30
222,0.38617335000720193,2009-10-16
223,0.3096453014964161,2009-11-01
224,0.2867728738348545,2009-11-17
225,0.36740060057354224,2009-12-03
226,0.4337272597660205,2009-12-19
227,0.531877386725732,2010-01-01
228,0.6131635845280382,2010-01-17
229,0.6171052293253296,2010-02-02
230,0.6597770025937111,2010-02-18
231,0.6532088069366049,2010-03-06
232,0.4040970881850426,2010-03-22
233,0.2792964348219432,2010-04-07
234,0.23279805951105345,2010-04-23
235,0.2093998198399447,2010-05-09
236,0.21083665332602558,2010-05-25
237,0.2393251617301034,2010-06-10
238,0.3008291716895504,2010-06-26
239,0.3583619274588136,2010-07-12
240,0.59271894826987,2010-07-28
241,0.6598452553708521,2010-08-13
242,0.6439697936498202,2010-08-29
243,0.6504132426785568,2010-09-14
244,0.562934189444803,2010-09-30
245,0.40128316832432914,2010-10-16
246,0.3490842210910033,2010-11-01
247,0.32797983057593016,2010-11-17
248,0.37533342466304354,2010-12-03
249,0.4319087809946568,2010-12-19
250,0.5290574624794165,2011-01-01
251,0.6054564244105779,2011-01-17
252,0.6584186321863742,2011-02-02
253,0.6873014322357116,2011-02-18
254,0.6515238924100536,2011-03-06
255,0.47232866046715627,2011-03-22
